name,id,align,eye,hair,sex,gsm,alive,apperances,first,year,publisher
Batman (Bruce Wayne),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3093,"1939, May",1939,DC
Superman (Clark Kent),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,2496,"1986, October",1986,DC
Green Lantern (Hal Jordan),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1565,"1959, October",1959,DC
James Gordon (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,1316,"1987, February",1987,DC
Richard Grayson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1237,"1940, April",1940,DC
Wonder Woman (Diana Prince),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,1231,"1941, December",1941,DC
Aquaman (Arthur Curry),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1121,"1941, November",1941,DC
Timothy Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1095,"1989, August",1989,DC
Dinah Laurel Lance (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1075,"1969, November",1969,DC
Flash (Barry Allen),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1028,"1956, October",1956,DC
GenderTest,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1028,"1956, October",1956,DC
Alan Scott (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,969,"1940, July",1940,DC
Barbara Gordon (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,951,"1967, January",1967,DC
Jason Garrick (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,951,"1940, January",1940,DC
Lois Lane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,934,"1938, June",1938,DC
Alfred Pennyworth (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,930,"1943, April",1943,DC
Carter Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,803,"1940, January",1940,DC
Kyle Rayner (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,716,"1994, January",1994,DC
Raymond Palmer (New Earth),Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,706,"1961, October",1961,DC
Alexander Luthor (New Earth),Public Identity,Bad Characters,Green Eyes,,Male Characters,,Living Characters,677,"1986, October",1986,DC
Roy Harper (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,654,"1941, November",1941,DC
Kara Zor-L (Earth-Two),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,635,"1976, February",1976,DC
Ted Grant (New Earth),Secret Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,605,"1942, January",1942,DC
Garfield Logan (New Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,595,"1965, November",1965,DC
Guy Gardner (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,593,"1968, March",1968,DC
Victor Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,584,"1980, October",1980,DC
Kon-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,560,"1993, June",1993,DC
Ralph Dibny (New Earth),Public Identity,,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,558,"1960, May",1960,DC
James Olsen (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,557,"1986, October",1986,DC
John Stewart (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,549,"1971, December",1971,DC
Joker (New Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,517,"1940, June",1940,DC
Franklin Rock (New Earth),Public Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,492,"1959, April",1959,DC
Garth (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Male Characters,,Deceased Characters,487,"1960, February",1960,DC
Rex Mason (New Earth),Secret Identity,,Black Eyes,,Male Characters,,Living Characters,470,"1965, January",1965,DC
Zatanna Zatara (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,439,"1964, November",1964,DC
Aztar (New Earth),Secret Identity,,White Eyes,,Male Characters,,Living Characters,436,"1940, February",1940,DC
Theodore Kord (New Earth),Secret Identity,,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,429,"1986, February",1986,DC
Michael Jon Carter (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,427,"1986, February",1986,DC
Cassandra Sandsmark (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,423,"1996, January",1996,DC
Kent Nelson (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,422,"1940, May",1940,DC
Harvey Bullock (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,413,"1974, July",1974,DC
Rachel Roth (New Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,399,"1980, October",1980,DC
Helena Bertinelli (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,393,"1989, April",1989,DC
Wesley Dodds (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,391,"1939, April",1939,DC
Uxas (New Earth),Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,388,"1970, December",1970,DC
Nathaniel Adam (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,386,"1987, March",1987,DC
Ronald Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,386,"1978, March",1978,DC
Red Tornado (New Earth),Secret Identity,Good Characters,Green Eyes,,Male Characters,,Living Characters,374,"1968, August",1968,DC
John Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,Living Characters,371,"1984, June",1984,DC
Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,370,"1940, October",1940,DC
Charles McNider (New Earth),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,361,"1941, April",1941,DC
Theodore Knight (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,356,"1941, April",1941,DC
